hours_worked,sleep_hours,tasks_completed,breaks_taken,focus_level,productivity
5.745401188473625,8.18897028411847,12,5,0.8875326346244714,Medium
11.50714306409916,7.216578198064722,14,0,0.8398248763392173,High
9.31993941811405,5.857165697717966,8,4,0.3476681036296264,Medium
7.986584841970366,8.882770118241691,3,3,0.43622263137624806,Medium
3.560186404424365,8.108387035323275,8,1,0.8347258065182699,Medium
3.5599452033620267,4.975701636069347,5,5,0.34818275723792774,Low
2.580836121681995,9.465563106963055,1,6,0.9342019913371018,Low
10.661761457749352,8.935223457539013,7,1,0.5396219401570895,Medium
8.011150117432088,9.698799479751544,5,5,0.26963117007012694,Low
9.080725777960454,8.35431705033016,6,6,0.8525989148034248,Medium
2.2058449429580245,7.680491175614739,6,1,0.49880774643071013,Low
11.699098521619943,6.509458217743713,8,5,0.6211993553230248,Medium
10.324426408004218,9.596370900124079,9,1,0.2898434755289754,Medium
4.123391106782762,9.19638333700245,2,1,0.20206721187598592,Low
3.818249672071006,4.271312020637136,9,6,0.7103881646346382,Medium
3.834045098534338,4.158201846983512,12,1,0.6121401362669854,Medium
5.042422429595377,6.258780201268298,11,1,0.6748308552985178,Medium
7.247564316322379,8.863319984690998,10,6,0.834995080304413,Medium
6.319450186421157,9.923656775889667,9,3,0.7172847307382881,Medium
4.912291401980419,4.902501346621169,13,0,0.3398187542619018,Medium
8.118528947223794,7.564784292112811,10,7,0.48861801528847987,Medium
3.3949386065204186,6.285345139786129,10,2,0.9247128838302083,Medium
4.921446485352181,9.819486386887618,7,4,0.8159557602013432,Medium
5.663618432936917,9.052713538814253,1,2,0.6453096463493738,Low
6.56069984217036,9.029972228266827,7,2,0.40451599824741785,Medium
9.851759613930136,6.812158958769822,10,5,0.44164840146783607,Medium
3.996737821583597,6.488917014025991,5,0,0.7855664540685077,Medium
7.142344384136116,5.640442431584237,6,5,0.8809394086822167,Medium
7.924145688620425,4.338252979905563,10,0,0.7371397356244915,Medium
2.4645041271999775,9.188334257530318,7,6,0.8476239806147534,Low
8.075448519014383,8.877406054780465,14,6,0.8133249081603249,Medium
3.705241236872915,9.998306039716784,5,7,0.3197631743655662,Low
2.650515929852795,9.979821022443431,7,0,0.5391558503306416,Low
11.488855372533333,7.332590233615765,9,1,0.3223870406628502,Medium
11.656320330745594,8.613924491083063,3,3,0.3881884678415879,Medium
10.08397348116461,9.668594379294568,8,7,0.895407699720842,Medium
5.046137691733707,9.097884344064468,2,7,0.5783135725065458,Low
2.9767211400638387,5.484088610459186,11,1,0.6282864814741287,Medium
8.842330265121568,6.703264811860561,7,3,0.3427567721822177,Medium
6.4015249373960135,4.77495649090897,13,5,0.44981742883903686,Medium
3.2203823484477883,9.724306163552335,2,3,0.384196934742296,Low
6.951769101112702,7.63704780670528,14,5,0.3649489316147412,Medium
2.343885211152184,5.371856833020776,4,6,0.7103686346527762,Low
11.093204020787821,8.03020410643514,7,2,0.4055070781165719,Medium
4.587799816000169,7.708769442747375,3,6,0.7056123888163348,Low
8.62522284353982,6.148976308197043,2,6,0.24676369128684314,Low
5.11711076089411,4.681345553197774,11,2,0.3134195148216815,Medium
7.200680211778108,8.029439173556797,10,3,0.4196322032001003,Medium
7.4671027934327965,7.121846205422759,7,7,0.6776375335165534,Medium
3.8485445552552706,8.633910350413835,1,3,0.7406729960699008,Low
11.695846277645586,7.12098100667196,14,5,0.5541735734236217,High
9.751328233611146,9.113089001911241,8,1,0.5566327316617832,Medium
11.394989415641891,7.311441032646913,3,5,0.7796134811188946,Medium
10.948273504276488,7.365627829212317,12,1,0.21265687341246597,Medium
7.978999788110851,9.25992161595007,12,6,0.47287201957937647,Medium
11.218742350231167,6.420897197274382,13,2,0.8549656456953862,High
2.884925020519195,4.804091370703844,2,6,0.6825755281706978,Low
3.959828624191452,4.172696057880033,3,0,0.46978170620433635,Low
2.4522728891053807,8.530823534041714,5,3,0.924419833863739,Low
5.253303307632644,7.7218573081207875,11,1,0.8180981819595061,Medium
5.88677289689482,8.22447860859534,8,5,0.41191635778938673,Low
4.713490317738959,5.277784969053465,10,2,0.7162318700205736,Medium
